host,sort,type,length,time,sigma
joe-arch-pc,quicksort,sorted,2,6.690002919640392e-06,4.225690791736866e-06
joe-arch-pc,quicksort,median-killer,2,7.74500222178176e-06,3.169219210418159e-06
joe-arch-pc,quicksort,reversed,2,1.1049000022467226e-05,4.272510635234965e-06
joe-arch-pc,quicksort,random,2,8.163005986716598e-06,1.9430985231556875e-06
joe-arch-pc,mergesort,sorted,2,6.898000719957054e-06,2.4795040471583982e-06
joe-arch-pc,mergesort,median-killer,2,8.027003786992282e-06,1.983851714806158e-06
joe-arch-pc,mergesort,reversed,2,7.198999810498208e-06,3.8166892546269285e-06
joe-arch-pc,mergesort,random,2,8.59099964145571e-06,1.6430877686624982e-06
joe-arch-pc,heapsort,sorted,2,6.801004929002374e-06,3.179274251205483e-06
joe-arch-pc,heapsort,median-killer,2,7.869995897635818e-06,2.3191725018179397e-06
joe-arch-pc,heapsort,reversed,2,7.1210015448741615e-06,3.2904511239732234e-06
joe-arch-pc,heapsort,random,2,8.290997357107699e-06,1.8923591025254067e-06
joe-arch-pc,quicksort,sorted,4,6.512003892567009e-06,2.5684198592012927e-06
joe-arch-pc,quicksort,median-killer,4,7.699003617744893e-06,1.2184097374445988e-06
joe-arch-pc,quicksort,reversed,4,6.933994882274419e-06,4.554620407176915e-06
joe-arch-pc,quicksort,random,4,8.15599923953414e-06,4.453220519662276e-06
joe-arch-pc,mergesort,sorted,4,6.71800080453977e-06,5.189400414674596e-06
joe-arch-pc,mergesort,median-killer,4,7.991999154910445e-06,2.147223690774501e-06
joe-arch-pc,mergesort,reversed,4,7.335002010222524e-06,1.0816570791652587e-05
joe-arch-pc,mergesort,random,4,8.686998626217246e-06,1.5964659875889315e-06
joe-arch-pc,heapsort,sorted,4,6.492999091278762e-06,2.8189394525477175e-06
joe-arch-pc,heapsort,median-killer,4,7.96099629951641e-06,2.540171545897398e-06
joe-arch-pc,heapsort,reversed,4,7.071997970342636e-06,2.695933386221442e-06
joe-arch-pc,heapsort,random,4,8.301998605020344e-06,1.8278721005732921e-06
joe-arch-pc,quicksort,sorted,6,6.419002602342516e-06,2.4338846086551916e-06
joe-arch-pc,quicksort,median-killer,6,8.344002708327025e-06,2.576451863113302e-06
joe-arch-pc,quicksort,reversed,6,7.009002729319036e-06,2.5348122096892133e-06
joe-arch-pc,quicksort,random,6,8.219001756515354e-06,1.8628617784161077e-06
joe-arch-pc,mergesort,sorted,6,6.604001100640744e-06,2.3840461843525497e-06
joe-arch-pc,mergesort,median-killer,6,8.15800012787804e-06,1.1460518520556392e-06
joe-arch-pc,mergesort,reversed,6,7.171998731791973e-06,4.210661249559506e-06
joe-arch-pc,mergesort,random,6,8.481998520437628e-06,1.97693813849132e-06
joe-arch-pc,heapsort,sorted,6,6.472997483797371e-06,3.3022164820826914e-06
joe-arch-pc,heapsort,median-killer,6,8.231996616814286e-06,1.321835983615097e-06
joe-arch-pc,heapsort,reversed,6,6.987000233493745e-06,3.820550808097018e-06
joe-arch-pc,heapsort,random,6,8.237999281845987e-06,1.9014394008264184e-06
joe-arch-pc,quicksort,sorted,8,6.6259963205084205e-06,3.590323921021191e-06
joe-arch-pc,quicksort,median-killer,8,8.050003089010715e-06,1.352071791630488e-06
joe-arch-pc,quicksort,reversed,8,6.938003934919834e-06,2.367310440656579e-06
joe-arch-pc,quicksort,random,8,8.13799852039665e-06,1.997364482359856e-06
joe-arch-pc,mergesort,sorted,8,6.828995537944138e-06,2.345620490902796e-06
joe-arch-pc,mergesort,median-killer,8,8.311006240546703e-06,1.1806524202335289e-06
joe-arch-pc,mergesort,reversed,8,7.242000719998032e-06,3.1935619336759853e-06
joe-arch-pc,mergesort,random,8,8.480004908051342e-06,2.3407813450668107e-06
joe-arch-pc,heapsort,sorted,8,6.58100179862231e-06,2.4492924395073763e-06
joe-arch-pc,heapsort,median-killer,8,8.383001841139048e-06,1.2686368749004047e-06
joe-arch-pc,heapsort,reversed,8,1.2228003470227122e-05,3.3501513671579907e-06
joe-arch-pc,heapsort,random,8,8.165006875060499e-06,3.0014502479004778e-06
joe-arch-pc,quicksort,sorted,10,6.6209977376274765e-06,2.38329820120445e-06
joe-arch-pc,quicksort,median-killer,10,8.057999366428703e-06,1.8889001535442596e-06
joe-arch-pc,quicksort,reversed,10,7.233000360429287e-06,2.352155507897354e-06
joe-arch-pc,quicksort,random,10,8.122995495796204e-06,1.9949035147218694e-06
joe-arch-pc,mergesort,sorted,10,6.661000952590257e-06,2.392151870518858e-06
joe-arch-pc,mergesort,median-killer,10,8.179005817510188e-06,1.1660969408937697e-06
joe-arch-pc,mergesort,reversed,10,7.4260024121031165e-06,2.3936834712534644e-06
joe-arch-pc,mergesort,random,10,8.525996236130595e-06,3.742131310655566e-06
joe-arch-pc,heapsort,sorted,10,6.873000529594719e-06,2.7837404676370607e-06
joe-arch-pc,heapsort,median-killer,10,8.31099896458909e-06,1.5168674217231776e-06
joe-arch-pc,heapsort,reversed,10,7.131005986593664e-06,5.630643828686215e-06
joe-arch-pc,heapsort,random,10,8.35500395623967e-06,1.9278448758646146e-06
joe-arch-pc,quicksort,sorted,20,6.527996447402984e-06,5.440874950665349e-06
joe-arch-pc,quicksort,median-killer,20,8.49200296215713e-06,1.3250710105388247e-06
joe-arch-pc,quicksort,reversed,20,7.046997779980302e-06,2.4803612200072056e-06
joe-arch-pc,quicksort,random,20,8.474999049212784e-06,2.284008527591151e-06
joe-arch-pc,mergesort,sorted,20,7.0739988586865366e-06,2.537005597988447e-06
joe-arch-pc,mergesort,median-killer,20,8.814000466372818e-06,1.0962466046455696e-06
joe-arch-pc,mergesort,reversed,20,7.922004442662e-06,3.2863570574663212e-06
joe-arch-pc,mergesort,random,20,9.109004167839885e-06,3.3461313723834013e-06
joe-arch-pc,heapsort,sorted,20,6.8829976953566074e-06,2.5856590497564077e-06
joe-arch-pc,heapsort,median-killer,20,8.827999408822507e-06,1.8271164950777062e-06
joe-arch-pc,heapsort,reversed,20,7.277994882315397e-06,2.3096661672867582e-06
joe-arch-pc,heapsort,random,20,8.584000170230865e-06,9.546993796262307e-06
joe-arch-pc,quicksort,sorted,30,6.6350039560347795e-06,2.695914842593858e-06
joe-arch-pc,quicksort,median-killer,30,8.915005309972912e-06,1.1723751679862238e-06
joe-arch-pc,quicksort,reversed,30,7.392001862172037e-06,2.2966915337098594e-06
joe-arch-pc,quicksort,random,30,8.492999768350273e-06,1.836335763567013e-06
joe-arch-pc,mergesort,sorted,30,7.338996510952711e-06,2.936788423239057e-06
joe-arch-pc,mergesort,median-killer,30,8.937997336033732e-06,4.231189056807924e-06
joe-arch-pc,mergesort,reversed,30,8.161005098372698e-06,2.257317522396541e-06
joe-arch-pc,mergesort,random,30,9.54199640545994e-06,3.110328349810904e-06
joe-arch-pc,heapsort,sorted,30,1.0231000487692654e-05,4.722178803121237e-06
joe-arch-pc,heapsort,median-killer,30,9.08000220078975e-06,1.7140056930867421e-06
joe-arch-pc,heapsort,reversed,30,7.848997483961284e-06,2.3039696269303836e-06
joe-arch-pc,heapsort,random,30,9.081995813176036e-06,3.0723249682669655e-06
joe-arch-pc,quicksort,sorted,40,6.68199936626479e-06,6.370887086985609e-06
joe-arch-pc,quicksort,median-killer,40,9.120994945988059e-06,1.3363309811407168e-06
joe-arch-pc,quicksort,reversed,40,7.600996468681842e-06,2.3111506734658665e-06
joe-arch-pc,quicksort,random,40,8.584000170230865e-06,2.092112685192625e-06
joe-arch-pc,mergesort,sorted,40,6.916998245287687e-06,2.5564772924537435e-06
joe-arch-pc,mergesort,median-killer,40,8.752998837735504e-06,1.3623505554983827e-06
